kontostand,dauer,kredithistorie,zweck,kreditbetrag,ersparnisse,beschaeftigt_seit,rate_vs_einkommen,geschlecht,mitschuldner,meldeadresse_seit,vermoegen,alter,verpflichtungen,wohnung,bestehende_kredite,job,unterhaltspflichtig,telefon,ergebnis,status
unter 200 DM,36,keine Kredite/puenktliche Zahlung,Haushaltsgeraete,3990,unbekannt / kein Konto,weniger als 1 Jahr,3,weiblich,keine,2,unbekannt / kein Vermoegen,29,Bank,Eigentum,1,ungelernt/nicht angestellt,1,nein,1,single
unter 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,11560,weniger als 100,zwischen 1 und 4 Jahren,1,weiblich,keine,4,Auto,23,keine,Miete,2,"Management, selbstaendig, hochqualifiziert",1,nein,2,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,4380,zwischen 100 und 500,zwischen 1 und 4 Jahren,3,maennlich,keine,4,Auto,35,keine,Eigentum,1,ungelernt / angestellt,2,ja,1,single
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,6761,weniger als 100,zwischen 4 und 7 Jahren,1,maennlich,keine,3,unbekannt / kein Vermoegen,45,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",2,ja,1,single
unter 200 DM,30,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,4280,zwischen 100 und 500,zwischen 1 und 4 Jahren,4,weiblich,keine,4,Auto,26,keine,Miete,2,ungelernt / angestellt,1,nein,2,single
im Dispo,24,keine Kredite/puenktliche Zahlung,Neuwagen,2325,zwischen 100 und 500,zwischen 4 und 7 Jahren,2,maennlich,keine,3,Auto,32,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,10,keine Kredite/puenktliche Zahlung,Unterhaltungselektronik,1048,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,23,Laden,Eigentum,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,21,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3160,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,3,Immobilien,41,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,24,keine Kredite/puenktliche Zahlung,Moebel,2483,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,22,Laden,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,39,Kritisches Konto / Kredite bei anderer Bank,Moebel,14179,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,maennlich,keine,4,Immobilien,30,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
im Dispo,13,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,1797,weniger als 100,weniger als 1 Jahr,3,maennlich,keine,1,Immobilien,28,Bank,Eigentum,2,ungelernt / angestellt,1,nein,1,single
im Dispo,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,2511,weniger als 100,arbeitslos,1,weiblich,keine,4,Auto,23,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1274,weniger als 100,weniger als 1 Jahr,3,weiblich,keine,1,unbekannt / kein Vermoegen,37,keine,Eigentum,1,ungelernt / angestellt,1,nein,2,single
Kein Konto,21,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,5248,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,maennlich,keine,3,Auto,26,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,3029,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,2,Auto,33,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,428,weniger als 100,laenger als 7 Jahre,2,weiblich,keine,1,Immobilien,49,Bank,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,976,weniger als 100,weniger als 1 Jahr,1,weiblich,keine,2,Auto,23,keine,Eigentum,1,ungelernt / angestellt,1,nein,2,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,841,zwischen 100 und 500,zwischen 4 und 7 Jahren,2,weiblich,keine,4,unbekannt / kein Vermoegen,23,keine,Miete,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,30,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,5771,weniger als 100,zwischen 4 und 7 Jahren,4,weiblich,keine,2,Auto,25,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,Bestehender Kredit wird puenktlich bedient,Reparaturen,1555,ueber 1.000,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,55,keine,kostenlos,2,Facharbeiter / Beamter,2,nein,2,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1285,unbekannt / kein Konto,zwischen 4 und 7 Jahren,4,weiblich,keine,4,unbekannt / kein Vermoegen,32,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
mehr als 200 DM,6,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1299,weniger als 100,zwischen 1 und 4 Jahren,1,maennlich,keine,1,unbekannt / kein Vermoegen,74,keine,Eigentum,3,ungelernt/nicht angestellt,2,nein,1,single
mehr als 200 DM,15,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1271,unbekannt / kein Konto,zwischen 1 und 4 Jahren,3,maennlich,keine,4,unbekannt / kein Vermoegen,39,keine,kostenlos,2,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1393,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,Buerge,2,unbekannt / kein Vermoegen,31,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,691,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,3,Immobilien,35,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,15,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,5045,unbekannt / kein Konto,laenger als 7 Jahre,1,weiblich,keine,4,Auto,59,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
im Dispo,18,Kritisches Konto / Kredite bei anderer Bank,Moebel,2124,weniger als 100,zwischen 1 und 4 Jahren,4,weiblich,keine,4,unbekannt / kein Vermoegen,24,keine,Miete,2,Facharbeiter / Beamter,1,nein,2,single
im Dispo,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2214,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,3,Immobilien,24,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,single
Kein Konto,21,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,12680,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,30,keine,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,2463,zwischen 100 und 500,zwischen 4 und 7 Jahren,4,maennlich,keine,3,Immobilien,27,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1155,weniger als 100,laenger als 7 Jahre,3,maennlich,Buerge,3,unbekannt / kein Vermoegen,40,Bank,Eigentum,2,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
im Dispo,30,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3108,weniger als 100,weniger als 1 Jahr,2,maennlich,keine,4,Immobilien,31,keine,Eigentum,1,ungelernt / angestellt,1,nein,2,geschieden / getrennt
Kein Konto,10,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,2901,unbekannt / kein Konto,weniger als 1 Jahr,1,weiblich,keine,4,unbekannt / kein Vermoegen,31,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Moebel,3617,weniger als 100,laenger als 7 Jahre,1,maennlich,keine,4,Auto,28,keine,Miete,3,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1655,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,4,unbekannt / kein Vermoegen,63,keine,Eigentum,2,ungelernt / angestellt,1,ja,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,2812,unbekannt / kein Konto,laenger als 7 Jahre,2,weiblich,keine,4,unbekannt / kein Vermoegen,26,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,36,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,8065,weniger als 100,zwischen 1 und 4 Jahren,3,weiblich,keine,2,unbekannt / kein Vermoegen,25,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,2,single
Kein Konto,21,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,3275,weniger als 100,laenger als 7 Jahre,1,maennlich,keine,4,Auto,36,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2223,zwischen 100 und 500,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,52,Bank,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
mehr als 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1480,zwischen 500 und 1.000,arbeitslos,2,maennlich,keine,4,unbekannt / kein Vermoegen,66,Bank,kostenlos,3,ungelernt/nicht angestellt,1,nein,1,single
im Dispo,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1371,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,weiblich,keine,4,unbekannt / kein Vermoegen,25,keine,Miete,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,36,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,3535,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,4,Auto,37,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3509,weniger als 100,zwischen 4 und 7 Jahren,4,weiblich,Buerge,1,unbekannt / kein Vermoegen,25,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,36,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,5711,ueber 1.000,laenger als 7 Jahre,4,maennlich,keine,2,Auto,38,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Reparaturen,3872,weniger als 100,arbeitslos,2,weiblich,keine,4,Auto,67,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,39,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,4933,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,Buerge,2,unbekannt / kein Vermoegen,25,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1940,ueber 1.000,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,60,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
unter 200 DM,12,Kritisches Konto / Kredite bei anderer Bank,Umschulung,1410,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,unbekannt / kein Vermoegen,31,keine,Eigentum,1,ungelernt / angestellt,1,ja,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,836,zwischen 100 und 500,weniger als 1 Jahr,4,weiblich,keine,2,Immobilien,23,Bank,Eigentum,1,ungelernt / angestellt,1,nein,2,single
unter 200 DM,20,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,6468,unbekannt / kein Konto,arbeitslos,1,maennlich,keine,4,unbekannt / kein Vermoegen,60,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,geschieden / getrennt
unter 200 DM,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1941,ueber 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Immobilien,35,keine,Eigentum,1,ungelernt / angestellt,1,ja,1,single
Kein Konto,22,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2675,zwischen 500 und 1.000,laenger als 7 Jahre,3,maennlich,keine,4,Auto,40,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,48,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,2751,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,3,Auto,38,keine,Eigentum,2,Facharbeiter / Beamter,2,ja,1,single
unter 200 DM,48,Bestehender Kredit wird puenktlich bedient,Ausbildung,6224,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,50,keine,kostenlos,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,40,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,5998,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,3,unbekannt / kein Vermoegen,27,Bank,Eigentum,1,Facharbeiter / Beamter,1,ja,2,single
unter 200 DM,21,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,1188,weniger als 100,laenger als 7 Jahre,2,weiblich,keine,4,Immobilien,39,keine,Eigentum,1,Facharbeiter / Beamter,2,nein,2,single
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,6313,unbekannt / kein Konto,laenger als 7 Jahre,3,maennlich,keine,4,Auto,41,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",2,ja,1,single
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Moebel,1221,unbekannt / kein Konto,zwischen 1 und 4 Jahren,1,maennlich,keine,2,Immobilien,27,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
mehr als 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2892,weniger als 100,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,51,keine,kostenlos,1,Facharbeiter / Beamter,1,nein,1,geschieden / getrennt
Kein Konto,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3062,zwischen 500 und 1.000,laenger als 7 Jahre,4,maennlich,keine,3,unbekannt / kein Vermoegen,32,keine,Miete,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2301,zwischen 100 und 500,weniger als 1 Jahr,2,weiblich,keine,4,Immobilien,22,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,7511,unbekannt / kein Konto,laenger als 7 Jahre,1,maennlich,keine,4,Immobilien,51,keine,kostenlos,1,Facharbeiter / Beamter,2,ja,2,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Moebel,1258,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,4,Immobilien,22,keine,Miete,2,ungelernt / angestellt,1,nein,1,single
Kein Konto,24,Bestehender Kredit wird puenktlich bedient,Neuwagen,717,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Auto,54,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
unter 200 DM,9,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1549,unbekannt / kein Konto,weniger als 1 Jahr,4,maennlich,keine,2,unbekannt / kein Vermoegen,35,keine,Eigentum,1,ungelernt/nicht angestellt,1,nein,1,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Ausbildung,1597,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,54,keine,kostenlos,2,Facharbeiter / Beamter,2,nein,1,single
unter 200 DM,18,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1795,weniger als 100,laenger als 7 Jahre,3,weiblich,Buerge,4,unbekannt / kein Vermoegen,48,Bank,Miete,2,ungelernt / angestellt,1,ja,1,single
im Dispo,20,Kritisches Konto / Kredite bei anderer Bank,Moebel,4272,weniger als 100,laenger als 7 Jahre,1,weiblich,keine,4,Immobilien,24,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,976,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,Auto,35,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,7472,unbekannt / kein Konto,arbeitslos,1,weiblich,keine,2,unbekannt / kein Vermoegen,24,keine,Miete,1,ungelernt/nicht angestellt,1,nein,1,single
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,9271,weniger als 100,zwischen 4 und 7 Jahren,2,maennlich,keine,1,Auto,24,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,2,single
unter 200 DM,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,590,weniger als 100,weniger als 1 Jahr,3,maennlich,keine,3,unbekannt / kein Vermoegen,26,keine,Eigentum,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
Kein Konto,12,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,930,unbekannt / kein Konto,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,65,keine,Eigentum,4,Facharbeiter / Beamter,1,nein,1,single
unter 200 DM,42,keine Kredite/puenktliche Zahlung,Gebrauchtwagen,9283,weniger als 100,arbeitslos,1,maennlich,keine,2,unbekannt / kein Vermoegen,55,Bank,kostenlos,1,"Management, selbstaendig, hochqualifiziert",1,ja,1,single
unter 200 DM,15,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1778,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,1,unbekannt / kein Vermoegen,26,keine,Miete,2,ungelernt/nicht angestellt,1,nein,2,single
unter 200 DM,8,Alle Kredite bei dieser Bank puenktlich bezahlt,Geschaeft,907,weniger als 100,weniger als 1 Jahr,3,maennlich,keine,2,unbekannt / kein Vermoegen,26,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
unter 200 DM,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,484,weniger als 100,zwischen 4 und 7 Jahren,3,maennlich,Buerge,3,unbekannt / kein Vermoegen,28,Bank,Eigentum,1,ungelernt / angestellt,1,nein,1,verheiratet / verwitwet
im Dispo,36,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,9629,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,4,Auto,24,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,2,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Haushaltsgeraete,3051,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,4,Auto,54,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
im Dispo,48,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,3931,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,46,keine,kostenlos,1,Facharbeiter / Beamter,2,nein,2,single
unter 200 DM,36,Bestehender Kredit wird puenktlich bedient,Neuwagen,7432,weniger als 100,zwischen 1 und 4 Jahren,2,weiblich,keine,2,Immobilien,54,keine,Miete,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,6,Alle Kredite bei dieser Bank puenktlich bezahlt,Haushaltsgeraete,1338,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,1,maennlich,keine,4,unbekannt / kein Vermoegen,62,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,geschieden / getrennt
Kein Konto,6,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,1554,weniger als 100,zwischen 4 und 7 Jahren,1,weiblich,keine,2,Auto,24,keine,Miete,2,Facharbeiter / Beamter,1,ja,1,single
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Anderes,15857,weniger als 100,arbeitslos,2,maennlich,weiterer Kreditnehmer,3,Auto,43,keine,Eigentum,1,"Management, selbstaendig, hochqualifiziert",1,nein,1,geschieden / getrennt
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,1345,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,3,unbekannt / kein Vermoegen,26,Bank,Eigentum,1,Facharbeiter / Beamter,1,nein,2,verheiratet / verwitwet
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1101,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,2,unbekannt / kein Vermoegen,27,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
mehr als 200 DM,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,3016,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,1,Auto,24,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,2712,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,2,Immobilien,41,Bank,Eigentum,1,Facharbeiter / Beamter,2,nein,2,single
im Dispo,8,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,731,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,unbekannt / kein Vermoegen,47,keine,Eigentum,2,ungelernt / angestellt,1,nein,1,single
Kein Konto,18,Kritisches Konto / Kredite bei anderer Bank,Moebel,3780,weniger als 100,weniger als 1 Jahr,3,maennlich,keine,2,Auto,35,keine,Eigentum,2,"Management, selbstaendig, hochqualifiziert",1,ja,1,geschieden / getrennt
im Dispo,21,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1602,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,3,Auto,30,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,verheiratet / verwitwet
im Dispo,18,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,3966,weniger als 100,laenger als 7 Jahre,1,weiblich,keine,4,unbekannt / kein Vermoegen,33,Bank,Miete,3,Facharbeiter / Beamter,1,ja,2,single
Kein Konto,18,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,4165,weniger als 100,zwischen 1 und 4 Jahren,2,maennlich,keine,2,Auto,36,Laden,Eigentum,2,Facharbeiter / Beamter,2,nein,2,single
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Gebrauchtwagen,8335,unbekannt / kein Konto,laenger als 7 Jahre,3,maennlich,keine,4,unbekannt / kein Vermoegen,47,keine,kostenlos,1,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,48,Bestehender Kredit wird puenktlich bedient,Geschaeft,6681,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,maennlich,keine,4,unbekannt / kein Vermoegen,38,keine,kostenlos,1,Facharbeiter / Beamter,2,ja,1,single
Kein Konto,24,Bestehender Kredit wird puenktlich bedient,Geschaeft,2375,zwischen 500 und 1.000,zwischen 1 und 4 Jahren,4,maennlich,keine,2,Auto,44,keine,Eigentum,2,Facharbeiter / Beamter,2,ja,1,single
im Dispo,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Neuwagen,1216,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,3,Auto,23,keine,Miete,1,Facharbeiter / Beamter,1,ja,2,single
im Dispo,45,Kritisches Konto / Kredite bei anderer Bank,Geschaeft,11816,weniger als 100,laenger als 7 Jahre,2,maennlich,keine,4,Auto,29,keine,Miete,2,Facharbeiter / Beamter,1,nein,2,single
unter 200 DM,24,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,5084,unbekannt / kein Konto,laenger als 7 Jahre,2,weiblich,keine,4,Auto,42,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
mehr als 200 DM,15,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,2327,weniger als 100,weniger als 1 Jahr,2,weiblich,keine,3,unbekannt / kein Vermoegen,25,keine,Eigentum,1,ungelernt / angestellt,1,nein,2,single
im Dispo,12,Kritisches Konto / Kredite bei anderer Bank,Neuwagen,1082,weniger als 100,zwischen 1 und 4 Jahren,4,maennlich,keine,4,Auto,48,Bank,Eigentum,2,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,12,Alle Kredite bei dieser Bank puenktlich bezahlt,Unterhaltungselektronik,886,unbekannt / kein Konto,zwischen 1 und 4 Jahren,4,weiblich,keine,2,Auto,21,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,1,single
Kein Konto,4,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,601,weniger als 100,weniger als 1 Jahr,1,weiblich,keine,3,unbekannt / kein Vermoegen,23,keine,Miete,1,ungelernt / angestellt,2,nein,1,single
im Dispo,24,Kritisches Konto / Kredite bei anderer Bank,Gebrauchtwagen,2957,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,63,keine,Eigentum,2,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,24,Kritisches Konto / Kredite bei anderer Bank,Unterhaltungselektronik,2611,weniger als 100,laenger als 7 Jahre,4,maennlich,weiterer Kreditnehmer,3,unbekannt / kein Vermoegen,46,keine,Eigentum,2,Facharbeiter / Beamter,1,nein,1,verheiratet / verwitwet
im Dispo,36,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,5179,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,2,Immobilien,29,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,21,Bestehender Kredit wird puenktlich bedient,Gebrauchtwagen,2993,weniger als 100,zwischen 1 und 4 Jahren,3,maennlich,keine,2,unbekannt / kein Vermoegen,28,Laden,Eigentum,2,ungelernt / angestellt,1,nein,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Reparaturen,1943,weniger als 100,weniger als 1 Jahr,4,weiblich,keine,4,unbekannt / kein Vermoegen,23,keine,Eigentum,1,Facharbeiter / Beamter,1,nein,2,single
Kein Konto,24,keine Kredite/puenktliche Zahlung,Geschaeft,1559,weniger als 100,zwischen 4 und 7 Jahren,4,maennlich,keine,4,Auto,50,Bank,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
Kein Konto,18,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3422,weniger als 100,laenger als 7 Jahre,4,maennlich,keine,4,Immobilien,47,Bank,Eigentum,3,Facharbeiter / Beamter,2,ja,1,single
unter 200 DM,21,Alle Kredite bei dieser Bank puenktlich bezahlt,Moebel,3976,unbekannt / kein Konto,zwischen 4 und 7 Jahren,2,maennlich,keine,3,Auto,35,keine,Eigentum,1,Facharbeiter / Beamter,1,ja,1,single
